Variável,Expostos,OR,IC95% inferior,IC95% superior
Imunodepressão,28,10.388,4.493,24.019
Doença renal,47,8.579,4.589,16.041
Doença hepática,11,8.558,2.453,29.851
Doença neurológica,55,5.5,3.188,9.488
Pneumopatia,83,5.473,3.494,8.572
Diabetes,107,4.757,3.203,7.066
Obesidade,28,4.711,2.241,9.902
Cardiopatia,141,3.756,2.651,5.32
Puerpério,6,3.483,0.789,15.386
Idade >= 60 anos,317,2.856,2.211,3.689
Asma,32,2.144,1.053,4.369
Sexo masculino,1012,1.106,0.894,1.368
Gestação,25,0.209,0.04,1.092
