NM_MUN,NM_RGI,notificacoes,casos_recentes,incidencia_100k,incidencia_recente_100k,tx_uti_percent,letalidade_percent,score_risco_srag,classe_risco_srag
Porto Esperidião,Mirassol D'oeste,4.0,1.0,190.65776930409913,47.66444232602478,75.0,0.0,69.08,Alto
Apiacás,Alta Floresta,3.0,3.0,34.51052571034165,34.51052571034165,100.0,0.0,67.39,Alto
Santo Afonso,Diamantino,1.0,1.0,41.390728476821195,41.390728476821195,100.0,0.0,65.31,Alto
Chapada dos Guimarães,Cuiabá,48.0,11.0,246.68516805427072,56.53201767910371,32.0,20.0,63.62,Alto
Campos de Júlio,Pontes e Lacerda - Comodoro,7.0,3.0,70.38005228232456,30.162879549567666,100.0,0.0,63.5,Alto
União do Sul,Sinop,1.0,1.0,23.596035865974518,23.596035865974518,100.0,0.0,62.29,Alto
Nossa Senhora do Livramento,Cuiabá,4.0,2.0,67.91171477079797,33.955857385398986,50.0,0.0,61.89,Alto
Cuiabá,Cuiabá,537.0,65.0,5353.938185443669,648.0558325024925,32.43847874720358,7.829977628635347,61.44,Alto
Nova Lacerda,Pontes e Lacerda - Comodoro,2.0,2.0,43.99472063352398,43.99472063352398,0.0,0.0,57.37,Alto
Vera,Sorriso,3.0,1.0,27.886224205242613,9.295408068414202,66.66666666666666,0.0,54.67,Alto
Tabaporã,Juara,1.0,0.0,0.8021497613604459,0.0,100.0,100.0,54.3,Alto
Novo Horizonte do Norte,Juara,22.0,6.0,488.6717014660151,133.27410039982232,0.0,0.0,52.6,Alto
Nova Santa Helena,Sinop,7.0,2.0,98.98190045248869,28.280542986425342,50.0,16.666666666666664,52.1,Alto
Torixoréu,Barra do Garças,1.0,1.0,34.07155025553663,34.07155025553663,0.0,0.0,52.05,Alto
Várzea Grande,Cuiabá,343.0,64.0,11860.30428769018,2213.001383125865,25.161290322580644,4.516129032258064,51.3,Alto
Vila Rica,Confresa - Vila Rica,1.0,0.0,5.079752108097125,0.0,100.0,100.0,49.4,Moderado
Pontes e Lacerda,Pontes e Lacerda - Comodoro,56.0,6.0,1682.6923076923076,180.28846153846155,11.11111111111111,3.7037037037037033,49.07,Moderado
Sinop,Sinop,220.0,38.0,11334.363730036064,1957.7537351880476,28.333333333333332,6.666666666666667,48.97,Moderado
Lambari D'Oeste,Cáceres,5.0,0.0,49.716615292830866,0.0,80.0,20.0,48.84,Moderado
Alto Garças,Rondonópolis,3.0,1.0,21.496130696474633,7.165376898824879,66.66666666666666,0.0,48.36,Moderado
Barra do Bugres,Tangará da Serra,5.0,1.0,17.003332653200026,3.400666530640005,80.0,20.0,48.34,Moderado
Nova Marilândia,Diamantino,1.0,1.0,26.80246582685607,26.80246582685607,0.0,0.0,47.93,Moderado
Confresa,Confresa - Vila Rica,2.0,0.0,5.200208008320333,0.0,100.0,100.0,46.86,Moderado
Peixoto de Azevedo,Peixoto de Azevedo - Guarantã do Norte,11.0,2.0,151.95468987429203,27.628125431689462,40.0,10.0,46.74,Moderado
