NM_MUN,NM_RGI,score_risco_srag,classe_risco_srag,silencioso_prioritario
Paranaíta,Alta Floresta,36.72,Moderado,False
Colniza,Juína,24.19,Baixo,False
Itaúba,Sinop,41.46,Moderado,True
Nova Monte Verde,Alta Floresta,22.74,Baixo,False
Feliz Natal,Sinop,16.57,Baixo,False
Jauru,Mirassol D'oeste,28.61,Moderado,True
Tesouro,Rondonópolis,36.96,Moderado,False
Pedra Preta,Rondonópolis,20.31,Baixo,False
Porto Estrela,Tangará da Serra,28.71,Moderado,False
Guiratinga,Rondonópolis,37.01,Moderado,False
Vila Rica,Confresa - Vila Rica,49.4,Moderado,False
Figueirópolis D'Oeste,Mirassol D'oeste,17.11,Baixo,False
Marcelândia,Sinop,35.5,Moderado,False
São José do Rio Claro,Diamantino,31.94,Moderado,False
Nortelândia,Diamantino,17.86,Baixo,False
Mirassol d'Oeste,Mirassol D'oeste,29.28,Moderado,False
Cláudia,Sinop,18.64,Baixo,True
Diamantino,Diamantino,30.53,Moderado,False
Nova Bandeirantes,Alta Floresta,9.43,Baixo,False
Querência,Água Boa,20.1,Baixo,False
Jaciara,Jaciara,46.1,Moderado,True
Tangará da Serra,Tangará da Serra,27.83,Moderado,True
Tabaporã,Juara,54.3,Alto,True
Pontal do Araguaia,Barra do Garças,35.58,Moderado,False
São José dos Quatro Marcos,Mirassol D'oeste,30.19,Moderado,False
Boa Esperança do Norte,Sorriso,15.0,Baixo,False
Reserva do Cabaçal,Mirassol D'oeste,21.35,Baixo,False
Ribeirão Cascalheira,Água Boa,9.45,Baixo,False
Araguaiana,Barra do Garças,10.72,Baixo,False
Alto Taquari,Rondonópolis,38.87,Moderado,False
Rio Branco,Cáceres,32.59,Moderado,False
Santa Carmem,Sinop,30.22,Moderado,True
Água Boa,Água Boa,25.76,Moderado,False
Comodoro,Pontes e Lacerda - Comodoro,24.02,Baixo,True
Confresa,Confresa - Vila Rica,46.86,Moderado,False
Nobres,Cuiabá,29.77,Moderado,False
Conquista D'Oeste,Pontes e Lacerda - Comodoro,16.44,Baixo,True
Cotriguaçu,Juína,20.55,Baixo,False
Rosário Oeste,Cuiabá,33.97,Moderado,False
Salto do Céu,Cáceres,17.48,Baixo,False
Barão de Melgaço,Cuiabá,19.96,Baixo,False
Juína,Juína,25.92,Moderado,False
Denise,Tangará da Serra,36.28,Moderado,False
Santo Antônio de Leverger,Cuiabá,46.56,Moderado,True
Campo Novo do Parecis,Tangará da Serra,34.97,Moderado,False
Lucas do Rio Verde,Sorriso,35.95,Moderado,False
Glória D'Oeste,Mirassol D'oeste,29.75,Moderado,False
Lambari D'Oeste,Cáceres,48.84,Moderado,False
Campo Verde,Cuiabá,28.48,Moderado,True
Arenápolis,Diamantino,28.96,Moderado,False
Vale de São Domingos,Pontes e Lacerda - Comodoro,36.88,Moderado,True
Canabrava do Norte,Confresa - Vila Rica,4.82,Baixo,False
Cocalinho,Água Boa,29.85,Moderado,False
Nova Guarita,Sinop,22.81,Baixo,False
Rondolândia,Juína,4.95,Baixo,False
Nova Mutum,Sorriso,42.52,Moderado,False
Nova Brasilândia,Cuiabá,24.35,Baixo,True
Nova Canaã do Norte,Sinop,26.36,Moderado,False
Tapurah,Sorriso,30.18,Moderado,False
Novo Mundo,Peixoto de Azevedo - Guarantã do Norte,36.75,Moderado,True
Nova Ubiratã,Sorriso,37.63,Moderado,False
