ANO_NOTIF,SE_NOTIF,SEMANA_NOTIF_INICIO,notificacoes,casos,enfermaria,hospitalizados,uti,obitos,permanencia_enfermaria_mediana,permanencia_uti_mediana,tx_uti_percent,letalidade_percent,notificacoes_wins,casos_wins,enfermaria_wins,uti_wins,obitos_wins
2026,1,2025-12-29,89,89,63,89,26,4,4.5,20.0,29.213483146067414,4.49438202247191,89.0,89.0,63.0,26,4
2026,3,2026-01-12,36,36,22,36,14,3,2.0,11.0,38.88888888888889,8.333333333333332,36.0,36.0,22.0,14,3
2026,4,2026-01-19,37,37,18,37,19,4,0.0,10.0,51.35135135135135,10.81081081081081,37.0,37.0,18.0,19,4
2026,5,2026-01-26,31,31,12,31,19,3,1.5,8.0,61.29032258064516,9.67741935483871,31.0,31.0,12.0,19,3
2026,6,2026-02-02,57,57,48,57,9,0,3.5,35.0,15.789473684210526,0.0,57.0,57.0,48.0,9,0
2026,7,2026-02-09,30,30,17,30,13,3,0.0,3.0,43.333333333333336,10.0,30.0,30.0,17.0,13,3
2026,8,2026-02-16,76,76,51,76,25,4,2.0,9.5,32.89473684210527,5.263157894736842,76.0,76.0,51.0,25,4
2026,9,2026-02-23,98,98,59,98,39,10,2.0,20.0,39.795918367346935,10.204081632653061,98.0,98.0,59.0,39,7
2026,10,2026-03-02,72,72,61,72,11,2,3.0,61.0,15.277777777777779,2.7777777777777777,72.0,72.0,61.0,11,2
2026,11,2026-03-09,113,113,95,113,18,4,2.0,4.5,15.929203539823009,3.5398230088495577,113.0,113.0,95.0,18,4
2026,12,2026-03-16,276,276,235,276,41,11,2.0,6.0,14.855072463768115,3.985507246376811,199.25,199.25,161.75,41,7
2026,13,2026-03-23,261,261,222,261,39,11,2.0,9.0,14.942528735632186,4.21455938697318,199.25,199.25,161.75,39,7
2026,14,2026-03-30,144,144,116,144,28,2,4.0,30.0,19.444444444444446,1.3888888888888888,144.0,144.0,116.0,28,2
2026,16,2026-04-13,80,80,72,80,8,1,1.5,5.0,10.0,1.25,80.0,80.0,72.0,8,1
2026,17,2026-04-20,42,42,39,42,3,0,2.0,,7.142857142857142,0.0,42.0,42.0,39.0,3,0
2026,18,2026-04-27,35,35,21,35,14,2,4.0,10.0,40.0,5.714285714285714,35.0,35.0,21.0,14,2
