indicador,year_ref,stable_week,valor_atual,valor_ano_anterior,variacao_percent
Notificações,2026,47,1910.0,4047.0,-52.80454657771189
Casos,2026,47,1611.0,3856.0,-58.22095435684646
Hospitalizações,2026,47,1910.0,4047.0,-52.80454657771189
Enfermaria,2026,47,1482.0,2811.0,-47.278548559231595
UTI,2026,47,428.0,1236.0,-65.37216828478964
Óbitos,2026,47,79.0,341.0,-76.83284457478005
Curas,2026,47,1336.0,3351.0,-60.13130408833185
Taxa UTI/Hospitalizados,2026,47,22.408376963350783,30.541141586360265,-26.62888222436842
Letalidade hospitalar,2026,47,4.136125654450262,8.425994563874475,-50.91231518017534
Taxa envio laboratorial,2026,47,75.81151832460733,67.531504818384,12.260964017448185
